TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0106,72,6,1220,182733,0,5730,1.0,X,1,2020
1,0106,73,5,1220,4754572,0,327952,1.0,X,1,2020
1,0106,73,5,1220,172884,0,8461,2.0,X,1,2020
1,0106,74,5,1220,149977,0,1032,1.0,X,1,2020
1,0106,76,5,1220,989203,0,66185,1.0,X,1,2020
1,0106,76,5,1220,4572,0,89,2.0,X,1,2020
1,0106,82,5,1220,12759,0,554,1.0,X,1,2020
1,0106,83,5,1220,67362,0,1199,1.0,X,1,2020
1,0106,83,5,1220,20021,0,578,2.0,X,1,2020
1,0106,84,5,1220,6109274,0,140430,1.0,X,1,2020
1,0106,84,5,1220,2470808,0,31606,2.0,X,1,2020
1,0106,85,5,1220,871440,0,23554,1.0,X,1,2020
1,0106,85,5,1220,81845,0,3527,2.0,X,1,2020
1,0106,86,5,1220,530174,0,2955,1.0,X,1,2020
1,0106,86,5,1220,12176,0,0,2.0,X,1,2020
1,0106,87,5,1220,7711557,0,111324,1.0,X,1,2020
1,0106,87,5,1220,1472427,0,34315,2.0,X,1,2020
1,0106,87,8,1220,19197,0,154,1.0,X,1,2020
1,0106,88,5,1220,21966,0,430,1.0,X,1,2020
1,0106,89,5,1220,1898519,0,26908,1.0,X,1,2020
1,0106,89,5,1220,122787,0,1393,2.0,X,1,2020
1,0106,90,5,1220,90615,0,1140,1.0,X,1,2020
1,0106,90,5,1220,68613,0,433,2.0,X,1,2020
1,0106,94,5,1220,541511,0,35467,1.0,X,1,2020
1,0106,94,5,1220,318800,0,10241,2.0,X,1,2020
1,0106,95,5,1220,41175,0,1327,1.0,X,1,2020
1,0106,95,5,1220,44080,0,2667,2.0,X,1,2020
1,0106,96,5,1220,353439,0,14574,1.0,X,1,2020
1,0106,96,5,1220,3101,0,75,2.0,X,1,2020
1,0106,98,5,1220,17119,0,85,1.0,X,1,2020
1,0107,7,5,1220,152916,0,5881,1.0,X,1,2020
1,0107,10,5,1220,42051,0,824,1.0,X,1,2020
1,0107,11,5,1220,27938,0,4340,1.0,X,1,2020
1,0107,20,5,1220,18023,0,353,1.0,X,1,2020
1,0107,39,5,1220,15582,0,530,1.0,X,1,2020
1,0107,44,5,1220,284768,0,5903,1.0,X,1,2020
1,0107,84,5,1220,5634,0,168,1.0,X,1,2020
1,0108,10,5,1220,13028,0,285,1.0,X,1,2020
1,0108,27,5,1220,184545,0,18044,1.0,X,1,2020
